Brand,Name,Description,Price,Discount,Product URL,Image
Parodontax,Classic,zubní pasta proti krvácení dásní bez fluoridu,106,,https://www.notino.cz/parodontax/classic-zubni-pasta-proti-krvaceni-dasni-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//parodontax/4047400392041_01-o__140428.jpg
Colgate,Max White White Crystals,bělicí zubní pasta 75 ml,53,,https://www.notino.cz/colgate/max-white-white-crystals-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951313835_01-o__240229.jpg
Colgate,Propolis Healthy Gums,zubní pasta pro citlivé zuby,41,-20 % s kódem beeweek,https://www.notino.cz/colgate/propolis-healthy-gums-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//colgate/6920354836039_01-o__230510.jpg
Marvis,Black Forest,zubní pasta příchuť Cherry-Chocolate-Mint 75 ml,183,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/marvis-black-forest-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111633_01-o__190911.jpg
Sensodyne,Repair & Protect Whitening,bělicí zubní pasta pro citlivé zuby,150,,https://www.notino.cz/sensodyne/repair-protect-whitening-belici-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103680_01-o__210908.jpg
Biorepair,Pro White,pasta pro přirozeně bílé zuby 75 ml,119,,https://www.notino.cz/biorepair/whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/brpwhiw_ktps45__130828.jpg
Elmex,Sensitive Professional Gentle Whitening,bělicí pasta pro citlivé zuby,162,,https://www.notino.cz/elmex/sensitive-professional-gentle-whitening-belici-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//elmex/8718951070905_11-o__160804.jpg
BEN&ANNA,Natural Toothpaste Black,zubní pasta ve skleněné dóze s aktivním uhlím 100 ml,146,,https://www.notino.cz/benanna/natural-toothpaste-black-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//benanna/4260491220509_01-o__221101.jpg
Parodontax,Herbal Fresh,zubní pasta proti krvácení dásní,102,,https://www.notino.cz/parodontax/herbal-fresh-zubni-pasta-proti-krvaceni-dasni-764934/,https://cdn.notinoimg.com/list_2k//parodontax/5054563066138_01-o__200109.jpg
Toothy®,Launcher Set,sada pro bělení zubů,1 690,,https://www.notino.cz/toothy/launcher-set-sada-pro-beleni-zubu/,https://cdn.notinoimg.com/list_2k//toothy/726667490779_01-o__210528.jpg
