Brand,Name,Description,Price,Product URL,Image,Discount Percentage,Discount Description,Discount Amount,Country,Currency,Scraped at
MEDIBLANC,Healthy Gums,zubní pasta pro ochranu dásní,325,https://www.notino.cz/mediblanc/healthy-gums-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300530559-o__221027.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Kids 2+,zubní pasta pro děti,143,https://www.notino.cz/curaprox/kids-2-strawberry-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429473_01-o__220225.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
G.U.M,Ortho,zubní pasta pro uživatele fixních rovnátek 75 ml,115,https://www.notino.cz/gum/ortho-zubni-pasta-pro-uzivatele-fixnich-rovnatek/,https://cdn.notinoimg.com/list_2k//gum/gumortw_ktps40_01__151102.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Elmex,Sensitive,pasta pro citlivé zuby,109,https://www.notino.cz/elmex/sensitive-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//elmex/7610108059249_11-o__150518.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Perio Plus+ Support 0.09 CHX,zubní pasta proti krvácení dásní a parodontóze 75 ml,215,https://www.notino.cz/curaprox/perio-plus-support-009-chx-zubni-pasta-proti-krvaceni-dasni-a-parodontoze/,https://cdn.notinoimg.com/list_2k//curaprox/7612412427288_01-o__191204.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Weleda,Dental Care,zubní pasta proti krvácení dásní 75 ml,118,https://www.notino.cz/weleda/dental-care-zubni-pasta/,https://cdn.notinoimg.com/list_2k//weleda/4001638098083_01-o__211012.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Meridol,Gum Protection,zubní pasta podporující regeneraci podrážděných dásní,61,https://www.notino.cz/meridol/meridol-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//meridol/8718951459885_01-o__220524.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curasept,Biosmalto Mousse,pěna pro obnovení zubní skloviny,375,https://www.notino.cz/curasept/biosmalto-mousse-pro-obnoveni-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//curasept/8056746071240_01-o__220202.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Jack N’ Jill,Toothpaste,přírodní zubní pasta pro děti,126,https://www.notino.cz/jack-n-jill/toothpaste-prirodni-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657011096_01__210924.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Oral B,Pro Expert Deep Clean,osvěžující zubní pasta 75 ml,77,https://www.notino.cz/oral-b/pro-expert-deep-clean-osvezujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106733_01-o__230904.jpg,20,s kódem mix20,15.4,Czechia,czk,2024-05-23 17:54:03.358655
Ecodenta,Green Tartar Eliminating,osvěžující zubní pasta proti zubnímu kameni s fluoridem příchuť Cranberry 100 ml,74,https://www.notino.cz/ecodenta/green-tartar-eliminating-osvezujici-zubni-pasta-proti-zubnimu-kameni/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001333815_01-o__170112.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Black is White,bělicí pasta s aktivním uhlím a hydroxyapatitem příchuť Fresh Lime-Mint 90 ml,496,https://www.notino.cz/curaprox/black-is-white-belici-pasta-s-aktivnim-uhlim-a-hydroxyapatitem/,https://cdn.notinoimg.com/list_2k//curaprox/7612412423822_01-o__170127.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Colgate,Triple Action Original Mint,zubní pasta,36,https://www.notino.cz/colgate/triple-action-duopack-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/6920354835971_01-o__230810.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
